,ts_code,ann_date,year,div_proc,stk_div,div_chg_per,prima_20,prima_40,prima_60,prima_120,prima_240
0,600121.SH,20190423,2019,实施,0.2,5,0.0702312711973112,0.0435604663476854,-0.07731837655829088,0.06485068604296407,-0.15921379097314603
1,600121.SH,20130319,2013,实施,0.0,0.0,-0.043411768944513596,-0.0027712047035680643,-0.02099693803555225,0.0006454317923769715,-0.1548868275956835
2,600121.SH,20120306,2012,实施,0.0,0.0,-0.018688925449389382,0.0718660329291625,-0.0759430711214788,0.058208574127438295,-0.08120414045832092
3,600121.SH,20090328,2009,实施,0.0,0.0,0.10344567293663509,0.03996710134929371,0.06255077011942789,0.06709004096390703,-0.49248555884906653
4,600121.SH,20070331,2007,实施,0.0,0.0,-0.028163482750255153,0.2764519888446837,-0.008724655623506883,-0.1885800262141687,-0.17673162992937086
5,600121.SH,20050326,2005,实施,0.0,0.0,-0.007698258857698481,-0.007697667530400798,-0.08531750833389884,0.027265323745442327,-0.044609130433045485
6,600121.SH,20010222,2001,实施,0.0,-0.99999999875,0.0,0.0,0.0,0.0,0.0
7,600121.SH,20000223,2000,实施,0.8,0.6000000000000001,0.0,0.0,0.0,0.0,0.0
8,600121.SH,19990319,1999,实施,0.5,5,0.0,0.0,0.0,0.0,0.0
9,600121.SH,19980331,1998,实施,0.0,-0.999999995,0.0,0.0,0.0,0.0,0.0
10,600121.SH,20190423,2019,实施,0.2,5,0.0702312711973112,0.0435604663476854,-0.07731837655829088,0.06485068604296407,-0.15921379097314603
11,600121.SH,20130319,2013,实施,0.0,0.0,-0.043411768944513596,-0.0027712047035680643,-0.02099693803555225,0.0006454317923769715,-0.1548868275956835
12,600121.SH,20120306,2012,实施,0.0,0.0,-0.018688925449389382,0.0718660329291625,-0.0759430711214788,0.058208574127438295,-0.08120414045832092
13,600121.SH,20090328,2009,实施,0.0,0.0,0.10344567293663509,0.03996710134929371,0.06255077011942789,0.06709004096390703,-0.49248555884906653
14,600121.SH,20070331,2007,实施,0.0,0.0,-0.028163482750255153,0.2764519888446837,-0.008724655623506883,-0.1885800262141687,-0.17673162992937086
15,600121.SH,20050326,2005,实施,0.0,0.0,-0.007698258857698481,-0.007697667530400798,-0.08531750833389884,0.027265323745442327,-0.044609130433045485
16,600121.SH,20010222,2001,实施,0.0,-0.99999999875,0.0,0.0,0.0,0.0,0.0
17,600121.SH,20000223,2000,实施,0.8,0.6000000000000001,0.0,0.0,0.0,0.0,0.0
18,600121.SH,19990319,1999,实施,0.5,5,0.0,0.0,0.0,0.0,0.0
20,600348.SH,20190413,2019,实施,0.0,-1.0,0.0022686510712681685,-0.008950147179682455,-0.026426418012316155,-0.03394229544335514,-0.023052729965369223
21,600348.SH,20180428,2018,实施,0.0,0.0,0.003678448920003685,-0.15393855866258666,0.25805987268966035,-0.00925873290311885,0.07344456319797077
22,600348.SH,20140425,2014,实施,0.0,0.0,-0.03852794524993497,-0.007865082470664864,-0.04168958599836925,-0.18398551596574375,-0.31248112091544467
23,600348.SH,20130426,2013,实施,0.0,0.0,-0.02443661380862372,-0.035629714236073196,-0.04096562339500687,-0.05979774426518014,-0.16470751245017212
24,600348.SH,20120424,2012,实施,0.0,0.0,-0.047598728818581404,0.029087317088930087,-0.01654768525214545,0.046199898401324546,0.0023404531177588783
25,600348.SH,20110423,2011,实施,0.0,-0.9999999993333333,-0.06840137390402501,0.029120937662419744,-0.07856529038069693,-0.01904954187427954,0.9382624315154229
26,600348.SH,20100423,2010,实施,1.5,5,0.11625112564186968,-0.025484676185346,-0.09782683530772296,-0.01403916839703856,0.8573040888031975
27,600348.SH,20090418,2009,实施,0.0,-0.999999999,0.20781249997929696,0.12374372803099676,0.018430074943492913,0.3599055463789613,-0.10356835630564565
28,600348.SH,20080426,2008,实施,1.0,5,-0.018494194893560745,-0.02253974176968898,-0.22022817374061843,0.569345599061754,0.4854870715749109
29,600348.SH,20070417,2007,实施,0.0,0.0,0.044096796919167014,-0.07943817187835034,0.1057233086433007,-0.11553143958372847,-0.22004462304486083
30,600348.SH,20060311,2006,实施,0.0,0.0,-0.13229687197733908,0.25400388613087377,-0.06485230841138057,0.10149029954251021,-0.06504193623557053
31,600348.SH,20050415,2005,实施,0.0,0.0,0.04201135297670211,-0.12716937144073548,0.046996154285496416,0.04018698181730418,0.1361828423681375
33,600123.SH,20190423,2019,实施,0.0,-1.0,0.043916585876506486,0.020518129596818868,-0.04541952706858243,-0.022073662423888307,0.20890095309162038
34,600123.SH,20180424,2018,实施,0.0,0.0,-0.020575924352353003,-0.02876619483798859,-0.035979422247203185,0.011133481730759343,0.08685342484378089
35,600123.SH,20160426,2016,实施,0.0,0.0,0.09405334568111634,-0.02727214553135926,-0.04278903360539821,0.19622802550378005,-0.0841201914810612
36,600123.SH,20150421,2015,实施,0.0,0.0,-0.06823021095086101,-0.02654217705087225,-0.029589943153982556,-0.17129751705493956,-0.02405784846877157
37,600123.SH,20140429,2014,实施,0.0,0.0,-0.0535224312958783,0.000693669062872937,-0.09191858495554217,-0.20601146738402465,-0.23915256443972222
38,600123.SH,20130418,2013,实施,0.0,-0.999999999,-0.02286366127166628,-0.1062346648334983,-0.03020423828380492,0.021399910960857804,0.01526704348804997
39,600123.SH,20120419,2012,实施,1.0,5,-0.00839816703123819,0.07201417521021791,0.01762859324828936,0.031287866548055376,0.33177704350079096
40,600123.SH,20110316,2011,实施,0.0,0.0,-0.01351812423603771,-0.08633254596509621,0.0017864305307382367,0.3205727249457606,-0.026243559869209232
41,600123.SH,20100330,2010,实施,0.0,0.0,-0.04468845847520808,0.005522527521570897,-0.0028280768534576506,0.08224582777978706,0.26323677636504916
42,600123.SH,20090303,2009,实施,0.0,-0.9999999974999999,-0.10395489123917234,0.25157093395697006,0.09833472836618018,-0.26025769238380325,0.067345048087043
43,600123.SH,20080305,2008,实施,0.4,5,-0.03673065832535338,0.2656685339071738,0.003420663040861305,0.09910085501395938,0.1624100742269703
44,600123.SH,20070328,2007,实施,0.0,0.0,-0.013923747510790285,-0.05474774568972085,-0.08741559219647455,0.17284728797808535,-0.11705297826598615
45,600123.SH,20060316,2006,实施,0.0,0.0,-0.020617028795888337,0.12761447123067504,-0.11274621167342835,0.09399400380495027,-0.01879157291581879
46,600123.SH,20050201,2005,实施,0.0,0.0,0.02320496905173286,-0.04325463037643096,-0.03582070937299364,0.1736222809132355,0.21003100526163898
47,600123.SH,20040326,2004,实施,0.0,0.0,0.03250953781583732,0.14743384871566567,-0.07147333964288016,0.3350601963657054,0.06046711855133746
48,600123.SH,20030328,2003,实施,0.0,0.0,-0.04301352483546195,0.017399820346978734,0.0,0.0,0.0
49,600123.SH,20020322,2002,实施,0.0,-0.999999998,0.0,0.0,0.0,0.0,0.0
51,600157.SH,20170428,2017,实施,0.0,-1.0,-0.04259612699002269,-0.03978620465273486,-0.013690198895509154,-0.048183994839586575,-0.07970492141612662
52,600157.SH,20160820,2016,实施,0.0,-0.9999999966666666,-0.03424754602075453,0.0012406089629777295,-0.04026521847063813,0.07086101020992852,-0.12375744148218171
53,600157.SH,20150428,2015,实施,0.3,-0.7,0.6462463225657933,-0.043888531530706265,-0.09372600570288847,-0.30252764153106126,0.8955375789973923
54,600157.SH,20140419,2014,实施,1.0,5,0.08602391215386329,-0.09422679943930201,-0.05175825835866976,-0.14837381747084943,-0.3120054786606289
55,600157.SH,20130309,2013,实施,0.0,-0.999999999,0.21541324035973552,0.11019300506542895,0.11512448291928568,-0.08386897721488984,0.1985876577679766
56,600157.SH,20120323,2012,实施,1.0,0.9548813387027407,0.0017942063622213844,0.09469459115521928,0.033147102518832794,0.14142901619025117,0.052392663223371105
57,600157.SH,20110426,2011,实施,0.51154,5,0.03354962705056641,0.01315721871592479,-0.0016616803815380221,0.08712706429373296,0.35545466722454466
58,600157.SH,20090425,2009,实施,0.0,-0.999999998,0.052201212873160374,0.193149957266608,0.21842522115003726,0.10877788130350696,-0.04014782048711685
59,600157.SH,20080410,2008,实施,0.5,-0.37500000000000006,-0.17296153695274397,0.17348019053063668,-0.0798418086413144,0.19537133872204127,0.2802482020723296
60,600157.SH,20000222,2000,实施,0.8,0.0,0.0,0.0,0.0,0.0,0.0
62,600792.SH,20140826,2014,实施,1.0,5,0.18322732800121222,0.05768770333534334,-0.07419812293967476,0.12041167919300078,-0.07096550246091926
63,600792.SH,20050426,2005,实施,0.1,-0.8,0.17117662824677193,0.04547233442263332,-0.005027780686808869,-0.10932436670618495,0.08930651834537895
64,600792.SH,20040313,2004,实施,0.5,0.0,0.015438401144567848,0.05692347154848054,-0.10154348998143825,-0.0798020303663427,0.04870353243124881
66,600971.SH,20190328,2019,实施,0.2,5,0.037113092807219195,-0.011236107777544246,-0.019557471454976105,0.000660198557174585,-0.09354037785795632
67,600971.SH,20180324,2018,实施,0.0,0.0,-0.15018902308998572,0.06498183357806275,-0.0072951487948467175,-0.0922237569498714,0.31526412043950547
68,600971.SH,20140415,2014,实施,0.0,0.0,0.018854886191120857,-0.12932939979357094,-0.03894919507667671,-0.15064566835862914,-0.19567872198296865
69,600971.SH,20130402,2013,实施,0.0,-0.9999999992191465,-0.0346034310136224,-0.05085509398743382,-0.03629415047848383,-0.09797690968332873,-0.005500860504709215
70,600971.SH,20110830,2011,实施,1.28065,5,0.04087504371747719,0.27992841959659387,0.04858420399410712,-0.05047944060447407,0.36157692345830483
71,600971.SH,20110315,2011,实施,0.0,-0.999999995,0.1017184271521534,-0.13823968827227506,0.07143494817369689,0.4792210351117687,0.19662251150318566
72,600971.SH,20090310,2009,实施,0.2,5,0.006081667213219122,0.29820010269420894,-0.01879578383074132,-0.26010057387798524,-0.3629126451238269
73,600971.SH,20070302,2007,实施,0.0,0.0,0.3837985918809179,-0.03733254455642343,-0.09169057515216106,-0.03445940467361386,-0.10153327972879678
74,600971.SH,20051228,2005,实施,0.0,-0.999999998,-0.03206344484832213,-0.02145147693664906,0.030532105475574056,-0.16913471362393417,-0.23252426581266628
76,000983.SZ,20190423,2019,实施,0.0,-1.0,0.11935017757779098,-0.027824165678791535,-0.03997977739002068,-0.11258839271246601,-0.010118531128688213
77,000983.SZ,20180424,2018,实施,0.0,0.0,-0.03835723551477821,-0.09979144486200009,-0.028285499812969905,-0.0020051804328969913,0.0657042018936207
78,000983.SZ,20170321,2017,实施,0.0,0.0,-0.03743512131940108,0.08920856942078714,-0.08627555538423515,-0.012462619175840461,0.2069327415883937
79,000983.SZ,20160426,2016,实施,0.0,0.0,0.12936314984183794,-0.1348378511866356,0.27087412260134314,0.34745339752456084,-0.14929395861586936
80,000983.SZ,20150407,2015,实施,0.0,0.0,-0.033928089988010446,-0.03915127859156864,-0.044578631148901926,-0.07310381637128915,0.06974969118638907
81,000983.SZ,20140401,2014,实施,0.0,0.0,-0.009719427155394977,-0.14339002196175565,-0.09703731008741323,-0.1110668741680858,-0.2414129150887695
82,000983.SZ,20130319,2013,实施,0.0,0.0,-0.06867246186331788,-0.027001176172953167,0.06199740477476712,-0.10759130026395058,-0.049133441971112024
83,000983.SZ,20120317,2012,实施,0.0,0.0,-0.01829553376873294,0.028076668163653284,-0.04309259695017198,-0.14868558094701523,-0.060054289969348584
84,000983.SZ,20110408,2011,实施,0.0,-0.9999999966666666,-0.006786258278463686,0.017308003613808687,-0.019090776547003196,0.14402685243085944,-0.060506064490969735
85,000983.SZ,20100331,2010,实施,0.3,5,0.037437625431910426,0.047921871689961204,-0.15796965252875028,0.13173618735097903,0.5063388893892313
86,000983.SZ,20090311,2009,实施,0.0,-0.999999999,-0.08357445251382067,0.09979035633349653,0.339982556947803,-0.17478648427943544,0.20076465198169124
87,000983.SZ,20080812,2008,实施,1.0,5,-0.19479015593596394,0.025286581337667924,0.03805410753260596,0.3865523615691122,0.2578143407715492
88,000983.SZ,20080320,2008,实施,0.0,0.0,-0.09836437834209544,-0.0911867717451661,0.03195982254308105,0.08787584406359317,1.5496601176575706
89,000983.SZ,20070308,2007,实施,0.0,0.0,0.0821964618914004,0.32708376941433603,-0.12925854676459958,-0.09126002691620283,-0.09798402957521946
90,000983.SZ,20060306,2006,实施,0.0,-0.999999998,0.06301335852414858,-0.04925487407185558,0.1691972218142639,-0.34778777368258573,-0.07389787880646459
91,000983.SZ,20050222,2005,实施,0.5,5,0.16715726039727885,-0.08747352485677573,-0.03726093816748233,0.3587752136479734,0.46796387174367493
92,000983.SZ,20040318,2004,实施,0.0,0.0,0.033170794165865436,-0.06774985688425172,0.09950203706086413,0.20751231869714704,0.13176428288761755
93,000983.SZ,20030308,2003,实施,0.0,0.0,0.005693078578570043,0.0,0.0,0.0,0.0
94,000983.SZ,20020309,2002,实施,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,600408.SH,20090307,2009,实施,0.0,-1.0,0.04415097009946867,0.15045171504435273,-0.06718196150110556,0.025884841206897713,-0.31078620735234774
97,600408.SH,20080202,2008,实施,0.8,5,0.14776471550310566,0.2280487614787452,0.06503308366701277,0.03390680073547614,0.6391930509702499
98,600408.SH,20070215,2007,实施,0.0,0.0,0.09855203678247992,0.05547764787297482,-0.06296763862293908,-0.2646316763881036,-0.2573240248910067
